MIM_Raw,Title,Comparison_Status,Old_Rank_200_export,New_Rank_1000_export,Rank_Shift_New_Minus_Old,Field_Values_Changed
#616779,"CEREBRAL ARTERIOPATHY, AUTOSOMAL DOMINANT, WITH SUBCORTICAL INFARCTS AND LEUKOENCEPHALOPATHY, TYPE 2; CADASIL2",Shared,158,158,0,false
*120361,MATRIX METALLOPROTEINASE 9; MMP9,Shared,159,159,0,false
*602194,HTRA SERINE PEPTIDASE 1; HTRA1,Shared,160,160,0,false
*191190,"TUMOR NECROSIS FACTOR RECEPTOR SUPERFAMILY, MEMBER 1A; TNFRSF1A",Shared,161,161,0,false
#104300,"ALZHEIMER DISEASE, FAMILIAL, 1; AD1",Shared,162,162,0,false
#612937,"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (LIMB-GIRDLE), TYPE C, 15; MDDGC15",Shared,163,163,0,false
*612456,APOLIPOPROTEIN L DOMAIN-CONTAINING 1; APOLD1,Shared,164,164,0,false
*106165,"ANGIOTENSIN II RECEPTOR, TYPE 1; AGTR1",Shared,165,165,0,false
#306700,HEMOPHILIA A; HEMA,Shared,166,166,0,false
*305900,GLUCOSE-6-PHOSPHATE DEHYDROGENASE; G6PD,Shared,167,167,0,false
*604775,"TRANSIENT RECEPTOR POTENTIAL CATION CHANNEL, SUBFAMILY A, MEMBER 1; TRPA1",Shared,168,168,0,false
*176975,"PROTEIN KINASE C, EPSILON; PRKCE",Shared,169,169,0,false
*601746,HYPOXIA UP-REGULATED 1; HYOU1,Shared,170,170,0,false
#274150,"THROMBOTIC THROMBOCYTOPENIC PURPURA, HEREDITARY; TTP",Shared,171,171,0,false
#192315,"VASCULOPATHY, RETINAL, WITH CEREBRAL LEUKOENCEPHALOPATHY AND SYSTEMIC MANIFESTATIONS; RVCLS",Shared,172,172,0,false
*186940,CD4 ANTIGEN; CD4,Shared,173,173,0,false
*191306,KINASE INSERT DOMAIN RECEPTOR; KDR,Shared,174,174,0,false
