assocID,Disease,Disease_CUI,Gene_Symbol,Entrez_Gene_ID,Ensembl_Gene_ID,Gene_Description,Gene_Type,Raw_GDA_Score,Normalized_Score,N_PMIDs,First_Ref_Year,Last_Ref_Year,EI,DSI,DPI,Evidence_Origin,Has_Human_TextMining,Has_Model_TextMining,Broad_Ischemic_Stroke_Present,Broad_Raw_GDA_Score,Broad_N_PMIDs,Evidence_Tier,Protein_Coding_for_STRING,Human_Literature_Extended_Eligible,Conservative_EI_Eligible,Recommended_Use,Association_Role,Caution,Score_Breakdown
406916_C5392833,Acute Ischemic Stroke,C5392833,MIR128-2,406916,ENSG00000207625,microRNA 128-2,ncRNA,0.1,0.064516129032258,1,2020,2020,1,0.54,0.83,Human_text_mining_only,TRUE,FALSE,TRUE,0.1,1,Low_score_nonprotein_audit,FALSE,FALSE,FALSE,Noncoding_low_score_audit_only,,Non-protein-coding and raw GDA score below 0.20; audit only.,Total: 0.1 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=None; count=0; weight=0 | Biobank: none | Literature: sources=TEXTMINING_HUMAN; publications=1; weight=0.1
100302197_C5392833,Acute Ischemic Stroke,C5392833,MIR1306,100302197,ENSG00000284464,microRNA 1306,ncRNA,0.1,0.064516129032258,1,2024,2024,1,0.64,0.71,Human_text_mining_only,TRUE,FALSE,FALSE,,,Low_score_nonprotein_audit,FALSE,FALSE,FALSE,Noncoding_low_score_audit_only,,Non-protein-coding and raw GDA score below 0.20; audit only.,Total: 0.1 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=None; count=0; weight=0 | Biobank: none | Literature: sources=TEXTMINING_HUMAN; publications=1; weight=0.1
406924_C5392833,Acute Ischemic Stroke,C5392833,MIR134,406924,ENSG00000207993,microRNA 134,ncRNA,0.1,0.064516129032258,1,2018,2018,1,0.56,0.88,Human_text_mining_only,TRUE,FALSE,TRUE,0.25,2,Low_score_nonprotein_audit,FALSE,FALSE,FALSE,Noncoding_low_score_audit_only,,Non-protein-coding and raw GDA score below 0.20; audit only.,Total: 0.1 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=None; count=0; weight=0 | Biobank: none | Literature: sources=TEXTMINING_HUMAN; publications=1; weight=0.1
442891_C5392833,Acute Ischemic Stroke,C5392833,MIR135B,442891,ENSG00000199059,microRNA 135b,ncRNA,0.1,0.064516129032258,1,2020,2020,1,0.56,0.75,Human_text_mining_only,TRUE,FALSE,FALSE,,,Low_score_nonprotein_audit,FALSE,FALSE,FALSE,Noncoding_low_score_audit_only,,Non-protein-coding and raw GDA score below 0.20; audit only.,Total: 0.1 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=None; count=0; weight=0 | Biobank: none | Literature: sources=TEXTMINING_HUMAN; publications=1; weight=0.1
406935_C5392833,Acute Ischemic Stroke,C5392833,MIR143,406935,ENSG00000284182,microRNA 143,ncRNA,0.1,0.064516129032258,1,2019,2019,1,0.47,0.88,Human_text_mining_only,TRUE,FALSE,TRUE,0.25,5,Low_score_nonprotein_audit,FALSE,FALSE,FALSE,Noncoding_low_score_audit_only,,Non-protein-coding and raw GDA score below 0.20; audit only.,Total: 0.1 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=None; count=0; weight=0 | Biobank: none | Literature: sources=TEXTMINING_HUMAN; publications=1; weight=0.1
406937_C5392833,Acute Ischemic Stroke,C5392833,MIR145,406937,ENSG00000276365,microRNA 145,ncRNA,0.1,0.064516129032258,1,2015,2015,1,0.46,0.83,Human_text_mining_only,TRUE,FALSE,TRUE,0.2,6,Low_score_nonprotein_audit,FALSE,FALSE,FALSE,Noncoding_low_score_audit_only,,Non-protein-coding and raw GDA score below 0.20; audit only.,Total: 0.1 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=None; count=0; weight=0 | Biobank: none | Literature: sources=TEXTMINING_HUMAN; publications=1; weight=0.1
574447_C5392833,Acute Ischemic Stroke,C5392833,MIR146B,574447,ENSG00000202569,microRNA 146b,ncRNA,0.1,0.064516129032258,1,2018,2018,1,0.49,0.88,Human_text_mining_only,TRUE,FALSE,FALSE,,,Low_score_nonprotein_audit,FALSE,FALSE,FALSE,Noncoding_low_score_audit_only,,Non-protein-coding and raw GDA score below 0.20; audit only.,Total: 0.1 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=None; count=0; weight=0 | Biobank: none | Literature: sources=TEXTMINING_HUMAN; publications=1; weight=0.1
406940_C5392833,Acute Ischemic Stroke,C5392833,MIR148A,406940,ENSG00000199085,microRNA 148a,ncRNA,0.1,0.064516129032258,1,2014,2014,1,0.51,0.83,Human_text_mining_only,TRUE,FALSE,TRUE,0.1,1,Low_score_nonprotein_audit,FALSE,FALSE,FALSE,Noncoding_low_score_audit_only,,Non-protein-coding and raw GDA score below 0.20; audit only.,Total: 0.1 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=None; count=0; weight=0 | Biobank: none | Literature: sources=TEXTMINING_HUMAN; publications=1; weight=0.1
406948_C5392833,Acute Ischemic Stroke,C5392833,MIR15A,406948,ENSG00000283785,microRNA 15a,ncRNA,0.1,0.064516129032258,1,2017,2017,1,0.49,0.79,Human_text_mining_only,TRUE,FALSE,TRUE,0.25,4,Low_score_nonprotein_audit,FALSE,FALSE,FALSE,Noncoding_low_score_audit_only,,Non-protein-coding and raw GDA score below 0.20; audit only.,Total: 0.1 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=None; count=0; weight=0 | Biobank: none | Literature: sources=TEXTMINING_HUMAN; publications=1; weight=0.1
406957_C5392833,Acute Ischemic Stroke,C5392833,MIR181C,406957,ENSG00000207613,microRNA 181c,ncRNA,0.1,0.064516129032258,1,2020,2020,1,0.57,0.79,Human_text_mining_only,TRUE,FALSE,FALSE,,,Low_score_nonprotein_audit,FALSE,FALSE,FALSE,Noncoding_low_score_audit_only,,Non-protein-coding and raw GDA score below 0.20; audit only.,Total: 0.1 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=None; count=0; weight=0 | Biobank: none | Literature: sources=TEXTMINING_HUMAN; publications=1; weight=0.1
