Gene_Rank,Gene_Symbol,UniProt_Accession,Source_ChEMBL_IDs,Source_Target_Names,Source_Target_Types,Source_Target_Entity_Count,Component_Relationship,Complex_Derived,Chimeric_Derived,Mutation_Context,D_Score,I_Score,Max_Activity_Score,PASS_Evidence_Type,Raw_Evidence_Record_Count,Score_Band_Descriptive,Prediction_Included,Evidence_Type,Organism,Tax_ID,Query_Compound,PubChem_CID,Source_Database,Source_Version,Retrieval_Date,Activity_Score_Interpretation,Pharmacologic_Direction,Source_URL
34,STK25,O00506,CHEMBL5552,Serine/threonine-protein kinase 25,SINGLE PROTEIN,1,single_protein,false,false,,0.0854,,0.0854,D,1,0.05-<0.10,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
35,PRKCG,P05129,CHEMBL2938,Protein kinase C gamma type,SINGLE PROTEIN,1,single_protein,false,false,,0.085,,0.085,D,1,0.05-<0.10,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
36,FHIT,P49789,CHEMBL1795151,Bis(5'-adenosyl)-triphosphatase,SINGLE PROTEIN,1,single_protein,false,false,,0.0849,,0.0849,D,1,0.05-<0.10,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
37,NR4A2,P43354,CHEMBL5002,Nuclear receptor subfamily 4 group A member 2,SINGLE PROTEIN,1,single_protein,false,false,,0.0841,,0.0841,D,1,0.05-<0.10,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
38,SMPD1,P17405,CHEMBL2760,Sphingomyelin phosphodiesterase,SINGLE PROTEIN,1,single_protein,false,false,,,0.0808,0.0808,I,1,0.05-<0.10,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
39,CDK19,Q9BWU1,CHEMBL6002,Cyclin-dependent kinase 19,SINGLE PROTEIN,1,single_protein,false,false,,0.0807,,0.0807,D,1,0.05-<0.10,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
40,PRKCA,P17252,CHEMBL299,Protein kinase C alpha type,SINGLE PROTEIN,1,single_protein,false,false,,0.0798,0.0328,0.0798,D+I,2,0.05-<0.10,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
41,PKM,P14618,CHEMBL1075189,Pyruvate kinase PKM,SINGLE PROTEIN,1,single_protein,false,false,,0.0789,0.0211,0.0789,D+I,2,0.05-<0.10,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
42,IL2,P60568,CHEMBL5880,Interleukin-2,SINGLE PROTEIN,1,single_protein,false,false,,0.0778,,0.0778,D,1,0.05-<0.10,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
43,PNLIP,P16233,CHEMBL1812,Pancreatic triacylglycerol lipase,SINGLE PROTEIN,1,single_protein,false,false,,0.076,,0.076,D,1,0.05-<0.10,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
44,MYLK,Q15746,CHEMBL2428,"Myosin light chain kinase, smooth muscle",SINGLE PROTEIN,1,single_protein,false,false,,0.0759,,0.0759,D,1,0.05-<0.10,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
45,PPIA,P62937,CHEMBL1949,Peptidyl-prolyl cis-trans isomerase A,SINGLE PROTEIN,1,single_protein,false,false,,,0.0709,0.0709,I,1,0.05-<0.10,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
46,PRKAA2,P54646,CHEMBL3038455,AMPK alpha2/beta1/gamma1,PROTEIN COMPLEX,1,protein_complex_component,true,false,,,0.0687,0.0687,I,1,0.05-<0.10,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
47,PRKAB1,Q9Y478,CHEMBL3038455,AMPK alpha2/beta1/gamma1,PROTEIN COMPLEX,1,protein_complex_component,true,false,,,0.0687,0.0687,I,1,0.05-<0.10,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
48,PRKAG1,P54619,CHEMBL3038455,AMPK alpha2/beta1/gamma1,PROTEIN COMPLEX,1,protein_complex_component,true,false,,,0.0687,0.0687,I,1,0.05-<0.10,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
