"Compound ID","Compound name","Original SMILES","Prepared SMILES","Target ID","Protein name","Protein family","Gene symbol","Gene ID",Organism,Score,Rank
1,Bilobalide,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Q9NUW8,"Tyrosyl-DNA phosphodiesterase 1 (Tyr-DNA phosphodiesterase 1) (EC 3.1.4.-)","Tyrosyl-DNA phosphodiesterase family",TDP1,55775;,"Homo sapiens (Human)",0.889927,37
1,Bilobalide,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Q9UBY5,"Lysophosphatidic acid receptor 3 (LPA receptor 3) (LPA-3) (Lysophosphatidic acid receptor Edg-7)","G-protein coupled receptor 1 family",LPAR3,23566;,"Homo sapiens (Human)",0.878707,38
1,Bilobalide,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,P29466,"Caspase-1 (CASP-1) (EC 3.4.22.36) (Interleukin-1 beta convertase) (IL-1BC) (Interleukin-1 beta-converting enzyme) (ICE) (IL-1 beta-converting enzyme) (p45) [Cleaved into: Caspase-1 subunit p20; Caspase-1 subunit p10]","Peptidase C14A family",CASP1,834;,"Homo sapiens (Human)",0.841848,39
1,Bilobalide,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,P08912,"Muscarinic acetylcholine receptor M5","G-protein coupled receptor 1 family, Muscarinic acetylcholine receptor subfamily, CHRM5 sub-subfamily",CHRM5,1133;,"Homo sapiens (Human)",0.835223,40
1,Bilobalide,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,P14174,"Macrophage migration inhibitory factor (MIF) (EC 5.3.2.1) (Glycosylation-inhibiting factor) (GIF) (L-dopachrome isomerase) (L-dopachrome tautomerase) (EC 5.3.3.12) (Phenylpyruvate tautomerase)","MIF family",MIF,4282;,"Homo sapiens (Human)",0.827365,41
1,Bilobalide,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Q06710,"Paired box protein Pax-8",,PAX8,7849;,"Homo sapiens (Human)",0.816687,42
1,Bilobalide,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,P23415,"Glycine receptor subunit alpha-1 (Glycine receptor 48 kDa subunit) (Glycine receptor strychnine-binding subunit)","Ligand-gated ion channel (TC 1.A.9) family, Glycine receptor (TC 1.A.9.3) subfamily, GLRA1 sub-subfamily",GLRA1,2741;,"Homo sapiens (Human)",0.81402,43
1,Bilobalide,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,O75688,"Protein phosphatase 1B (EC 3.1.3.16) (Protein phosphatase 2C isoform beta) (PP2C-beta)","PP2C family",PPM1B,5495;,"Homo sapiens (Human)",0.810353,44
1,Bilobalide,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,P21917,"D(4) dopamine receptor (D(2C) dopamine receptor) (Dopamine D4 receptor)","G-protein coupled receptor 1 family",DRD4,1815;,"Homo sapiens (Human)",0.806715,45
1,Bilobalide,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,P04150,"Glucocorticoid receptor (GR) (Nuclear receptor subfamily 3 group C member 1)","Nuclear hormone receptor family, NR3 subfamily",NR3C1,2908;,"Homo sapiens (Human)",0.804871,46
1,Bilobalide,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,P43088,"Prostaglandin F2-alpha receptor (PGF receptor) (PGF2-alpha receptor) (Prostanoid FP receptor)","G-protein coupled receptor 1 family",PTGFR,5737;,"Homo sapiens (Human)",0.787381,47
1,Bilobalide,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Q99720,"Sigma non-opioid intracellular receptor 1 (Aging-associated gene 8 protein) (SR31747-binding protein) (SR-BP) (Sigma 1-type opioid receptor) (SIG-1R) (Sigma1-receptor) (Sigma1R) (hSigmaR1)","ERG2 family",SIGMAR1,10280;,"Homo sapiens (Human)",0.760891,48
